,address,category,date,dayofweek,descript,incidntnum,location,pddistrict,resolution,time,x,y
17,TIFFANY AV / DUNCAN ST,LARCENY/THEFT,2006-04-23,Sunday,GRAND THEFT FROM LOCKED AUTO,60435237,"{u'latitude': u'37.7465750465073', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.420131938772'}",INGLESIDE,NONE,21:00,-122.420131939,37.7465750465
18,MISSION ST / 20TH ST,OTHER OFFENSES,2014-10-25,Saturday,CONSPIRACY,140902790,"{u'latitude': u'37.7586324051562', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.419052694349'}",MISSION,"ARREST, BOOKED",00:01,-122.419052694,37.7586324052
19,1000 Block of POINTLOBOS AV,LARCENY/THEFT,2010-12-15,Wednesday,GRAND THEFT FROM LOCKED AUTO,106159858,"{u'latitude': u'37.7784692199467', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.513642064265'}",RICHMOND,NONE,17:45,-122.513642064,37.7784692199
20,3600 Block of 24TH ST,VEHICLE THEFT,2005-03-14,Monday,"VEHICLE, RECOVERED, AUTO",50293374,"{u'latitude': u'37.7519488485754', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.424281984513'}",MISSION,NONE,19:00,-122.424281985,37.7519488486
21,100 Block of STOCKTON ST,FRAUD,2004-12-17,Friday,DEFRAUDING AN INNKEEPER,41430420,"{u'latitude': u'37.78710945429', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.40642786236'}",TENDERLOIN,"ARREST, CITED",17:30,-122.406427862,37.7871094543
22,800 Block of GONZALEZ DR,BURGLARY,2007-02-27,Tuesday,"BURGLARY OF APARTMENT HOUSE, FORCIBLE ENTRY",70210483,"{u'latitude': u'37.7175185873081', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.480606348865'}",TARAVAL,NONE,10:45,-122.480606349,37.7175185873
23,200 Block of HYDE ST,DRUG/NARCOTIC,2010-06-26,Saturday,SALE OF BASE/ROCK COCAINE,100587489,"{u'latitude': u'37.7830505366842', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.415858343095'}",TENDERLOIN,"ARREST, BOOKED",08:40,-122.415858343,37.7830505367
24,ALEMANY BL / STCHARLES AV,WARRANTS,2008-04-22,Tuesday,ENROUTE TO OUTSIDE JURISDICTION,80419675,"{u'latitude': u'37.7105916517348', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.46928727815'}",TARAVAL,"ARREST, BOOKED",11:02,-122.469287278,37.7105916517
25,400 Block of NATOMA ST,DRUG/NARCOTIC,2008-08-27,Wednesday,POSSESSION OF NARCOTICS PARAPHERNALIA,80906713,"{u'latitude': u'37.7806787734071', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406941270083'}",SOUTHERN,"ARREST, BOOKED",17:20,-122.40694127,37.7806787734
26,FOLSOM ST / COLUMBIASQUARE ST,MISSING PERSON,2012-08-10,Friday,MISSING ADULT,120633852,"{u'latitude': u'37.7778567118034', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406439890677'}",SOUTHERN,LOCATED,13:45,-122.406439891,37.7778567118
27,900 Block of BRYANT ST,LARCENY/THEFT,2004-04-15,Thursday,GRAND THEFT FROM LOCKED AUTO,40432708,"{u'latitude': u'37.7726367624181', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406730459241'}",SOUTHERN,NONE,15:00,-122.406730459,37.7726367624
28,500 Block of POTRERO AV,ASSAULT,2014-12-04,Thursday,"CHILD, INFLICTING INJURY RESULTING IN TRAUMATIC CONDITION",141024103,"{u'latitude': u'37.7625579386698', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.40710239862'}",MISSION,"ARREST, BOOKED",22:00,-122.407102399,37.7625579387
29,0 Block of CITYVIEW WY,OTHER OFFENSES,2011-07-03,Sunday,VIOLATION OF RESTRAINING ORDER,110549112,"{u'latitude': u'37.7487797908431', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.450833978774'}",PARK,NONE,22:00,-122.450833979,37.7487797908
30,1100 Block of POTRERO AV,DRUG/NARCOTIC,2011-10-05,Wednesday,POSSESSION OF BASE/ROCK COCAINE,110804518,"{u'latitude': u'37.7536322498822', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406324313914'}",MISSION,"ARREST, BOOKED",19:44,-122.406324314,37.7536322499
31,1100 Block of POTRERO AV,OTHER OFFENSES,2009-07-23,Thursday,VIOLATION OF RESTRAINING ORDER,90750936,"{u'latitude': u'37.7536322498822', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406324313914'}",MISSION,"ARREST, BOOKED",22:11,-122.406324314,37.7536322499
32,GENEVA AV / MOSCOW ST,OTHER OFFENSES,2014-01-23,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",140068411,"{u'latitude': u'37.7131452213851', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.433708216535'}",INGLESIDE,"ARREST, CITED",22:25,-122.433708217,37.7131452214
33,700 Block of 20TH AV,VEHICLE THEFT,2006-04-13,Thursday,STOLEN AUTOMOBILE,60398776,"{u'latitude': u'37.7737330727621', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.478833946252'}",RICHMOND,NONE,21:45,-122.478833946,37.7737330728
34,VICENTE ST / 25TH AV,VEHICLE THEFT,2010-03-16,Tuesday,STOLEN AUTOMOBILE,100251929,"{u'latitude': u'37.739040027458', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.481857307784'}",TARAVAL,NONE,19:10,-122.481857308,37.7390400275
35,100 Block of 4TH ST,MISSING PERSON,2003-09-01,Monday,MISSING JUVENILE,31034082,"{u'latitude': u'37.7843007072344', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.4039407276'}",SOUTHERN,LOCATED,18:00,-122.403940728,37.7843007072
36,900 Block of MISSION ST,NON-CRIMINAL,2014-11-15,Saturday,AIDED CASE,140967249,"{u'latitude': u'37.7823859229171', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406819073383'}",SOUTHERN,NONE,01:30,-122.406819073,37.7823859229
37,300 Block of RANDOLPH ST,NON-CRIMINAL,2013-11-07,Thursday,CASE CLOSURE,130946441,"{u'latitude': u'37.7142285364699', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.465757150563'}",TARAVAL,UNFOUNDED,20:45,-122.465757151,37.7142285365
38,400 Block of 24TH AV,NON-CRIMINAL,2012-02-01,Wednesday,LOST PROPERTY,120307596,"{u'latitude': u'37.7810881121155', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.483800564255'}",RICHMOND,NONE,12:00,-122.483800564,37.7810881121
39,4900 Block of MISSION ST,LARCENY/THEFT,2012-04-14,Saturday,PETTY THEFT BICYCLE,120296626,"{u'latitude': u'37.7189136194851', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.439283776299'}",INGLESIDE,NONE,14:00,-122.439283776,37.7189136195
40,QUINTARA ST / 45TH AV,SUSPICIOUS OCC,2010-11-06,Saturday,SUSPICIOUS OCCURRENCE,101031342,"{u'latitude': u'37.7474129025456', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.503940915156'}",TARAVAL,NONE,04:51,-122.503940915,37.7474129025
41,800 Block of POST ST,FRAUD,2012-12-31,Monday,"CREDIT CARD, THEFT BY USE OF",130024542,"{u'latitude': u'37.7874017655636', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.41584375719'}",CENTRAL,NONE,18:18,-122.415843757,37.7874017656
42,KEARNY ST / SUTTER ST,ASSAULT,2005-10-10,Monday,THREATS AGAINST LIFE,51142198,"{u'latitude': u'37.7898284155832', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403846623522'}",CENTRAL,"ARREST, BOOKED",09:15,-122.403846624,37.7898284156
43,SILVER AV / REVERE AV,OTHER OFFENSES,2010-07-26,Monday,TRAFFIC VIOLATION,100682045,"{u'latitude': u'37.736434147176', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.398556318222'}",BAYVIEW,"ARREST, CITED",07:21,-122.398556318,37.7364341472
44,300 Block of RHODEISLAND ST,ASSAULT,2014-08-16,Saturday,BATTERY,140684794,"{u'latitude': u'37.7654194999095', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.40255401264'}",BAYVIEW,NONE,01:50,-122.402554013,37.7654194999
45,SAN JOSE AV / RANDALL ST,OTHER OFFENSES,2003-02-15,Saturday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",30192489,"{u'latitude': u'37.7398702066413', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.42414758897'}",INGLESIDE,"ARREST, CITED",21:21,-122.424147589,37.7398702066
46,2800 Block of MISSION ST,WEAPON LAWS,2014-08-13,Wednesday,DISCHARGE FIREARM AT AN INHABITED DWELLING,140676274,"{u'latitude': u'37.7514284856786', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.418296094437'}",MISSION,NONE,14:34,-122.418296094,37.7514284857
47,CLAREMONT BL / DEWEY BL,SUSPICIOUS OCC,2003-10-29,Wednesday,SUSPICIOUS OCCURRENCE,31274749,"{u'latitude': u'37.7437476288189', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.463686819501'}",TARAVAL,NONE,14:00,-122.46368682,37.7437476288
48,100 Block of 12TH AV,BURGLARY,2005-05-16,Monday,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",50546220,"{u'latitude': u'37.7854348824258', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.471115863707'}",RICHMOND,NONE,18:00,-122.471115864,37.7854348824
49,700 Block of OFARRELL ST,VANDALISM,2006-12-03,Sunday,"MALICIOUS MISCHIEF, VANDALISM",61282762,"{u'latitude': u'37.7853238292094', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.417107256373'}",TENDERLOIN,NONE,00:10,-122.417107256,37.7853238292
50,700 Block of MARKET ST,BURGLARY,2011-12-08,Thursday,"BURGLARY,STORE UNDER CONSTRUCTION, UNLAWFUL ENTRY",110982982,"{u'latitude': u'37.7863072236365', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.405294845215'}",SOUTHERN,"ARREST, BOOKED",12:55,-122.405294845,37.7863072236
51,0 Block of SGTJOHNVYOUNG LN,NON-CRIMINAL,2013-01-21,Monday,AIDED CASE,130057957,"{u'latitude': u'37.7249307267936', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.444707063455'}",INGLESIDE,NONE,13:45,-122.444707063,37.7249307268
52,100 Block of DELVALE AV,MISSING PERSON,2007-04-11,Wednesday,MISSING JUVENILE,70372691,"{u'latitude': u'37.7410039476168', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.447065165833'}",INGLESIDE,NONE,11:15,-122.447065166,37.7410039476
53,17TH ST / SHOTWELL ST,PROSTITUTION,2003-06-26,Thursday,SOLICITS FOR ACT OF PROSTITUTION,30768240,"{u'latitude': u'37.7636337703031', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.416230392551'}",MISSION,"ARREST, BOOKED",12:30,-122.416230393,37.7636337703
54,22ND ST / HAMPSHIRE ST,MISSING PERSON,2009-03-27,Friday,MISSING ADULT,90321032,"{u'latitude': u'37.7561097891474', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407604807913'}",MISSION,NONE,12:40,-122.407604808,37.7561097891
55,100 Block of CORA ST,ASSAULT,2010-07-21,Wednesday,BATTERY,100666726,"{u'latitude': u'37.7108998031899', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.409259392917'}",INGLESIDE,NONE,09:51,-122.409259393,37.7108998032
56,800 Block of BRYANT ST,OTHER OFFENSES,2007-09-26,Wednesday,VIOLATION OF MUNICIPAL POLICE CODE,70989810,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,"ARREST, BOOKED",19:40,-122.403404791,37.7754207067
57,POLK ST / SACRAMENTO ST,MISSING PERSON,2006-10-23,Monday,FOUND PERSON,61130042,"{u'latitude': u'37.7914943051906', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.420874632415'}",NORTHERN,"ARREST, BOOKED",06:50,-122.420874632,37.7914943052
58,WASHBURN ST / MISSION ST,LARCENY/THEFT,2006-12-06,Wednesday,GRAND THEFT FROM LOCKED AUTO,66088640,"{u'latitude': u'37.7758891459127', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.415131149807'}",SOUTHERN,NONE,00:05,-122.41513115,37.7758891459
59,800 Block of MARKET ST,LARCENY/THEFT,2006-01-24,Tuesday,PETTY THEFT SHOPLIFTING,60090637,"{u'latitude': u'37.7841893501425', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407633520742'}",SOUTHERN,"ARREST, CITED",15:00,-122.407633521,37.7841893501
60,1600 Block of 16TH ST,VEHICLE THEFT,2007-10-19,Friday,STOLEN TRUCK,71108233,"{u'latitude': u'37.7661000581767', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403178416796'}",BAYVIEW,NONE,09:00,-122.403178417,37.7661000582
61,1500 Block of SHAFTER AV,OTHER OFFENSES,2014-02-01,Saturday,HARASSING PHONE CALLS,140265372,"{u'latitude': u'37.7305636925712', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.389768984951'}",BAYVIEW,"ARREST, BOOKED",03:00,-122.389768985,37.7305636926
62,500 Block of LIBERTY ST,LARCENY/THEFT,2011-04-09,Saturday,PETTY THEFT FROM LOCKED AUTO,110289045,"{u'latitude': u'37.7570071557685', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.433540925286'}",MISSION,NONE,08:30,-122.433540925,37.7570071558
63,800 Block of BRYANT ST,WARRANTS,2011-05-23,Monday,ENROUTE TO ADULT AUTHORITY,110415290,"{u'latitude': u'37.775420706711', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.403404791479'}",SOUTHERN,"ARREST, BOOKED",08:40,-122.403404791,37.7754207067
64,1800 Block of 19TH ST,WARRANTS,2004-11-10,Wednesday,ENROUTE TO OUTSIDE JURISDICTION,41284095,"{u'latitude': u'37.7609845447704', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.400737024011'}",BAYVIEW,"ARREST, BOOKED",05:42,-122.400737024,37.7609845448
65,1000 Block of POTRERO AV,NON-CRIMINAL,2009-07-08,Wednesday,"AIDED CASE, MENTAL DISTURBED",90694867,"{u'latitude': u'37.7564864109309', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.406539115148'}",MISSION,NONE,15:28,-122.406539115,37.7564864109
66,JONES ST / GOLDEN GATE AV,OTHER OFFENSES,2009-03-29,Sunday,VIOLATION OF RESTRAINING ORDER,90328583,"{u'latitude': u'37.7820729312029', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.412224164736'}",TENDERLOIN,"ARREST, BOOKED",14:21,-122.412224165,37.7820729312
67,0 Block of 4TH ST,NON-CRIMINAL,2005-11-29,Tuesday,LOST PROPERTY,51344548,"{u'latitude': u'37.7851178563953', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.404956956375'}",SOUTHERN,NONE,02:00,-122.404956956,37.7851178564
68,BUSH ST / DIVISADERO ST,OTHER OFFENSES,2008-02-12,Tuesday,TRAFFIC VIOLATION,80149963,"{u'latitude': u'37.7861779818819', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.440064505046'}",RICHMOND,"ARREST, CITED",09:25,-122.440064505,37.7861779819
69,900 Block of JAMESTOWN AV,VANDALISM,2008-03-29,Saturday,"MALICIOUS MISCHIEF, VANDALISM",86023488,"{u'latitude': u'37.7182677028816', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.393038835144'}",BAYVIEW,NONE,14:00,-122.393038835,37.7182677029
70,3200 Block of CALIFORNIA ST,FORGERY/COUNTERFEITING,2014-12-24,Wednesday,"CHECKS, MAKE OR PASS FICTITIOUS",159000387,"{u'latitude': u'37.787099344076', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.447635730271'}",RICHMOND,NONE,15:30,-122.44763573,37.7870993441
71,BROADWAY ST / STOCKTON ST,OTHER OFFENSES,2009-04-09,Thursday,"DRIVERS LICENSE, SUSPENDED OR REVOKED",90370067,"{u'latitude': u'37.7976265594608', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.408622974321'}",CENTRAL,"ARREST, CITED",00:12,-122.408622974,37.7976265595
72,3800 Block of 3RD ST,VANDALISM,2011-02-02,Wednesday,"MALICIOUS MISCHIEF, ADULT SUSPECT",110101104,"{u'latitude': u'37.7422600519555', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.387939452192'}",BAYVIEW,NONE,12:00,-122.387939452,37.742260052
73,100 Block of POWELL ST,SUSPICIOUS OCC,2012-05-23,Wednesday,INVESTIGATIVE DETENTION,120409318,"{u'latitude': u'37.7859680076775', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.407877787733'}",TENDERLOIN,JUVENILE DIVERTED,15:15,-122.407877788,37.7859680077
74,2200 Block of POST ST,ASSAULT,2013-03-25,Monday,BATTERY,130247744,"{u'latitude': u'37.7843685319756', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.43885717124'}",RICHMOND,NONE,11:15,-122.438857171,37.784368532
75,300 Block of AMBER DR,NON-CRIMINAL,2004-10-15,Friday,FOUND PROPERTY,41180158,"{u'latitude': u'37.744572363309', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.44168998326'}",INGLESIDE,UNFOUNDED,12:00,-122.441689983,37.7445723633
76,100 Block of CHURCH ST,NON-CRIMINAL,2013-06-04,Tuesday,"AIDED CASE, MENTAL DISTURBED",130461580,"{u'latitude': u'37.7690612353533', u'needs_recoding': False, u'human_address': u'{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}', u'longitude': u'-122.429159883658'}",NORTHERN,PSYCHOPATHIC CASE,20:05,-122.429159884,37.7690612354
